"ADCSTuCurPriProgCode","Title","PreviousCipCode","CurrentCipCode","Coordinator"
D15300,Lumber Specialist (Diploma)(Archived),03.0511,03.0511,Jennifer Frazelle
D15400,Sawyer (Diploma) (Archived),03.0599,03.0599,Jennifer Frazelle
D25180,Desktop Publishing (Diploma) (Archived),10.0303,10.0303,Hilmi Lahoud
D25320,Medical Transcription (Diploma),51.0708,51.0708,Hilmi Lahoud
D30210,Gunsmithing (Diploma),47.0402,47.0402,Jennifer Frazelle
D30240,Metal Engraving (Diploma),50.0713,50.0713,Jennifer Frazelle
D30380,Taxidermy (Diploma),01.0508,01.0508,Jennifer Frazelle
D35120,Boat Building+,46.0201,46.0201,Frank Scuiletti
D35160,Cabinetmaking (Diploma),48.0703,48.0703,Frank Scuiletti
D35180,Carpentry+,46.0201,46.0201,Frank Scuiletti
D35240,Heavy Equipment Operator (Diploma),49.0202,49.0202,Frank Scuiletti
D35280,Masonry +,46.0101,46.0101,Frank Scuiletti
D35300,Plumbing +,46.0503,46.0503,Frank Scuiletti
D45140,Cardiovascular/Vascular Interventional Technology (Diploma),51.0901,51.0901,Renee Batts
D45180,Central Sterile Processing (Diploma) (Archived),51.0999,51.1012,Renee Batts
D45200,Computed Tomography & Magnetic Resonance Imaging Technology (Diploma),51.0999,51.0999,Renee Batts
D45240,Dental Assisting (Diploma),51.0601,51.0601,Renee Batts
D45300,Dialysis Technology (Diploma),51.1011,51.1011,Renee Batts
D45450,Medical Dosimetry (Diploma),51.0907,51.0907,Renee Batts
D45510,Ophthalmic Medical Assistant (Diploma),51.1803,51.1803,Renee Batts
D45660,Practical Nursing (Diploma),51.1613,51.3901,Renee Batts
D45710,Rehabilitation Assistant (Diploma)(Archived),51.2399,51.2399,Renee Batts
D45820,Positron Emission Tomography (Diploma),51.0911,51.0999,Renee Batts
D45910,Emergency Medical Science (Diploma)**,,51.0904,Renee Batts
D45920,Medical Assisting (Diploma) **,,51.0801,Renee Batts
D45940,Pharmacy Technology (Diploma) **,,51.0805,Renee Batts
D45950,Phlebotomy (Diploma) **,,51.1009,Renee Batts
D45960,Therapeutic Massage (Diploma) **,,51.3501,Renee Batts
D45970,Nurse Aide (Diploma)**,,51.3902,Renee Batts
D50170,Facility Maintenance Worker (Diploma),46.0401,46.0401,Frank Scuiletti
D50220,Furniture Upholstery (Diploma),48.0303,48.0303,Frank Scuiletti
D50360,Packaging Machinery Servicing (Diploma) (Archived),47.0303,47.0303,Frank Scuiletti
D50380,Telecommunications Installation and Maintenance (Diploma),47.0199,47.0199,Frank Scuiletti
D55250,Foodservice Technology (Diploma),19.0505,12.0508,Lisa Eads
D60100,Autobody Repair (Diploma),47.0603,47.0603,Frank Scuiletti
D60120,Automotive Parts Sales Representative (Diploma)(Archived),08.1203,08.1203,Frank Scuiletti
D60140,Automotive Restoration Technology+,47.0603,47.0603,Frank Scuiletti
D60220,Marine Propulsion Systems (Diploma),47.0605,47.0605,Frank Scuiletti
D60280,Small Engine and Equipment Repair (Diploma),47.0606,47.0606,Frank Scuiletti
D60310,Recreational Vehicle Maintenance and Repair Technology+,47.0699,47.0618,Frank Scuiletti
D60330,Boat Manufacture and Service (Diploma),47.0616,47.0616,Frank Scuiletti
D60420,Alternative Transportation Technology+,,47.0614,Frank Scuiletti
D60430,Automotive Light-Duty Diesel Technology+,,47.0605,Frank Scuiletti
A25590,Information Technology,,11.0103,Hilmi Lahoud
A10500,Associate in Engineering,,14.0102,Jennifer Frazelle
C45480,Nursing Assistant (Certificate),,51.3902,Renee Batts
C45840,Nurse Aide (Certificate),,51.3902,Renee Batts
